conceptId,fsn,domainId,active,effectiveTime,moduleId,definitionStatusId
1000161,Accountants for the Public Interest - API,finance,1,20240101,900000000000012004,900000000000074008
1000162,Accountants' Index,finance,1,20240101,900000000000012004,900000000000074008
1000163,Accounting,finance,1,20240101,900000000000012004,900000000000074008
1000164,Accounting & Financial Women's Alliance - AFWA,finance,1,20240101,900000000000012004,900000000000074008
1000165,Accounting and Auditing Organization for Islamic Financial Institutions - AAOIFI,finance,1,20240101,900000000000012004,900000000000074008
1000166,Accounting Change,finance,1,20240101,900000000000012004,900000000000074008
1000167,Accounting Changes And Error Correction,finance,1,20240101,900000000000012004,900000000000074008
1000168,Accounting Conservatism,finance,1,20240101,900000000000012004,900000000000074008
1000169,Accounting Control,finance,1,20240101,900000000000012004,900000000000074008
1000170,Accounting Convention,finance,1,20240101,900000000000012004,900000000000074008
1000171,Accounting Currency,finance,1,20240101,900000000000012004,900000000000074008
1000172,Accounting Cushion,finance,1,20240101,900000000000012004,900000000000074008
1000173,Accounting Cycle,finance,1,20240101,900000000000012004,900000000000074008
1000174,Accounting Earnings,finance,1,20240101,900000000000012004,900000000000074008
1000175,Accounting Entity,finance,1,20240101,900000000000012004,900000000000074008
1000176,Accounting Equation,finance,1,20240101,900000000000012004,900000000000074008
1000177,Accounting Error,finance,1,20240101,900000000000012004,900000000000074008
1000178,Accounting Event,finance,1,20240101,900000000000012004,900000000000074008
1000179,Accounting Hall Of Fame,finance,1,20240101,900000000000012004,900000000000074008
1000180,Accounting Historians Journal,finance,1,20240101,900000000000012004,900000000000074008
1000181,Accounting Information System - AIS,finance,1,20240101,900000000000012004,900000000000074008
1000182,Accounting Insolvency,finance,1,20240101,900000000000012004,900000000000074008
1000183,Accounting Interpretation,finance,1,20240101,900000000000012004,900000000000074008
1000184,Accounting Manual,finance,1,20240101,900000000000012004,900000000000074008
1000185,Accounting Measurement,finance,1,20240101,900000000000012004,900000000000074008
1000186,Accounting Method,finance,1,20240101,900000000000012004,900000000000074008
1000187,Accounting Noise,finance,1,20240101,900000000000012004,900000000000074008
1000188,Accounting Period,finance,1,20240101,900000000000012004,900000000000074008
1000189,Accounting Policies,finance,1,20240101,900000000000012004,900000000000074008
1000190,Accounting Postulate,finance,1,20240101,900000000000012004,900000000000074008
1000191,Accounting Practice,finance,1,20240101,900000000000012004,900000000000074008
1000192,Accounting Principles,finance,1,20240101,900000000000012004,900000000000074008
1000193,Accounting Principles Board - APB,finance,1,20240101,900000000000012004,900000000000074008
1000194,Accounting Profit,finance,1,20240101,900000000000012004,900000000000074008
1000195,Accounting Rate of Return \(ARR\),finance,1,20240101,900000000000012004,900000000000074008
1000196,Accounting Ratio,finance,1,20240101,900000000000012004,900000000000074008
1000197,Accounting Records,finance,1,20240101,900000000000012004,900000000000074008
